iter	RMSE
0	4.953109532
1	4.76776058
2	4.594893423
3	4.453658786
4	4.330254211
5	4.19886613
6	4.058588429
7	3.915811387
8	3.793041418
9	3.666360253
10	3.549119987
11	3.448756053
12	3.341060182
13	3.233537374
14	3.12857213
15	3.030383955
16	2.939728282
17	2.844727017
18	2.748086001
19	2.664621752
20	2.591086463
21	2.50793064
22	2.422248489
23	2.327770301
24	2.246634774
25	2.1712408
26	2.100692962
27	2.035580402
28	1.967693173
29	1.905064129
30	1.857095732
31	1.803486248
32	1.758341297
33	1.710684002
34	1.657358433
35	1.605939712
36	1.563061581
37	1.513456492
38	1.47667386
39	1.434070901
40	1.398203325
41	1.366034916
42	1.3340311
43	1.291192668
44	1.254829812
45	1.217601847
46	1.180011778
47	1.147923512
48	1.113551126
49	1.081159805
50	1.053342524
51	1.028574769
52	1.000060447
53	0.9733754055
54	0.9473746001
55	0.9233522891
56	0.9034947109
57	0.8773109594
58	0.8578234031
59	0.8374108167
60	0.8254771364
61	0.8060195714
62	0.7873811137
63	0.7690946374
64	0.7536820359
65	0.7366026329
66	0.7196514778
67	0.7043794384
68	0.6919681327
69	0.6802298422
70	0.6721837534
71	0.6561363191
72	0.6435384762
73	0.6315509115
74	0.6198835702
75	0.6118055616
76	0.5967553277
77	0.5857232125
78	0.5766619814
79	0.5688509133
80	0.5638099908
81	0.55318443
82	0.5403809287
83	0.5322011539
84	0.5243980493
85	0.5198237165
86	0.5109934805
87	0.505799916
88	0.4967232102
89	0.4909386938
90	0.4853698799
91	0.4777346897
92	0.471816088
93	0.4683757025
94	0.4591846401
95	0.4519835447
96	0.4456162131
97	0.4379765347
98	0.4318594044
99	0.4251608783
100	0.4175713656
101	0.4149570618
102	0.4101803811
103	0.4049506941
104	0.4003755063
105	0.3965331408
106	0.3927403068
107	0.3902884086
108	0.3859681169
109	0.381217687
110	0.3764961339
111	0.371193493
112	0.3677140777
113	0.363953811
114	0.3597910783
115	0.3561527376
116	0.3505615195
117	0.3483605147
118	0.3425132586
119	0.340070025
120	0.3361013102
121	0.3339061008
122	0.3310059727
123	0.328180247
124	0.3238805515
125	0.3204265284
126	0.317274862
127	0.3141831899
128	0.3127143584
129	0.3102543412
130	0.3083210314
131	0.3053946666
132	0.3041846059
133	0.3015753139
134	0.2994868663
135	0.297228602
136	0.2953303617
137	0.2927539905
138	0.2910739974
139	0.2878014048
140	0.2835749332
141	0.2788375241
142	0.2749689848
143	0.2707351688
144	0.2683828805
145	0.2651809719
146	0.2641624592
147	0.2609377344
148	0.2586938064
149	0.2563623862
150	0.2541624035
151	0.2527290506
152	0.249635805
153	0.2487711522
154	0.2477075961
155	0.2446536072
156	0.2418819874
157	0.2399025443
158	0.2371619865
159	0.234277653
160	0.2319815764
161	0.2308042346
162	0.2287158112
163	0.2266774999
164	0.2258320261
165	0.2242021553
166	0.2220798206
167	0.2213612416
168	0.2196550434
169	0.2174676293
170	0.2164314783
171	0.214994621
172	0.213880189
173	0.2123804528
174	0.2100468925
175	0.2087535857
176	0.2072059076
177	0.2056779111
178	0.2034825927
179	0.2014493166
180	0.2002796938
181	0.1991248538
182	0.1977127882
183	0.1958350473
184	0.1948693326
185	0.1936264065
186	0.1928067871
187	0.1913128543
188	0.190156418
189	0.1893501126
190	0.1877984966
191	0.1863000422
192	0.1856186253
193	0.1851560785
194	0.1846786842
195	0.1834195755
196	0.182979983
197	0.1813036765
198	0.1798105444
199	0.1784462092
200	0.1776413505
201	0.1765308304
202	0.1760373523
203	0.1750973661
204	0.1737534473
205	0.1734398861
206	0.1724216259
207	0.1713151439
208	0.1700134031
209	0.1690781888
210	0.1677985441
211	0.1668518057
212	0.1659084038
213	0.1654450372
214	0.1645609467
215	0.1636635421
216	0.1627879923
217	0.1621530067
218	0.1613375963
219	0.1600698818
220	0.1590735135
221	0.1587057183
222	0.157707272
223	0.1573637005
224	0.1560987108
225	0.1549167595
226	0.1542684933
227	0.1530852272
228	0.1518714979
229	0.1510775015
230	0.1506242033
231	0.1501064232
232	0.1492863563
233	0.1484224156
234	0.1475618852
235	0.1468848807
236	0.1463328485
237	0.1456952128
238	0.1453616249
239	0.1450415357
240	0.1445827169
241	0.1439046293
242	0.1430622644
243	0.1427651875
244	0.1424648761
245	0.1421933911
246	0.1416428238
247	0.1409779591
248	0.1403590212
249	0.1396424781
250	0.1389676921
251	0.1383162024
252	0.1376366353
253	0.1372136844
254	0.1367805929
255	0.1362805787
256	0.1358654782
257	0.135415577
258	0.1350239452
259	0.1343331582
260	0.1336480768
261	0.1335193191
262	0.1330965414
263	0.1327580248
264	0.1324390194
265	0.1316909319
266	0.1313323501
267	0.1308419527
268	0.1301809628
269	0.1297746401
270	0.1293501494
271	0.1285407972
272	0.127823161
273	0.127538014
274	0.1268602261
275	0.1264024502
276	0.1257065521
277	0.1253345192
278	0.1248712098
279	0.1244200106
280	0.1239315288
281	0.1234394577
282	0.1230926985
283	0.122708962
284	0.122108234
285	0.1214586189
286	0.1210054179
287	0.120823506
288	0.1204104747
289	0.1198301346
290	0.1193724165
291	0.1189938246
292	0.1187243984
293	0.1184560565
294	0.1180057249
295	0.1176643982
296	0.1172207934
297	0.1167706848
298	0.1164050346
299	0.1162195501
300	0.1158216095
301	0.1152321562
302	0.1148606437
303	0.1145335796
304	0.1142932206
305	0.1140534466
306	0.113874134
307	0.1135389751
308	0.1132295432
309	0.1130208971
310	0.1127853284
311	0.1123405675
312	0.1119326903
313	0.111775283
