iter	Passed	Remaining
0	4	3410
1	7	3142
2	11	3073
3	16	3509
4	21	3583
5	26	3689
6	31	3695
7	36	3794
8	44	4107
9	52	4315
10	57	4304
11	63	4339
12	67	4312
13	72	4273
14	79	4334
15	83	4309
16	87	4212
17	90	4125
18	94	4075
19	101	4166
20	109	4259
21	114	4260
22	136	4841
23	168	5706
24	190	6183
25	225	7049
26	251	7567
27	309	8952
28	337	9409
29	374	10092
30	394	10261
31	407	10263
32	411	10043
33	415	9824
34	428	9828
35	432	9638
36	503	10892
37	550	11580
38	551	11300
39	581	11602
40	608	11826
41	643	12193
42	670	12402
43	730	13188
44	740	13046
45	770	13270
46	804	13534
47	833	13712
48	835	13449
49	863	13604
50	932	14386
51	963	14569
52	984	14575
53	1009	14658
54	1015	14451
55	1027	14354
56	1053	14428
57	1061	14279
58	1077	14228
59	1086	14093
60	1095	13949
61	1099	13756
62	1102	13558
63	1106	13379
64	1110	13207
65	1114	13040
66	1119	12882
67	1128	12776
68	1139	12700
69	1145	12571
70	1163	12564
71	1198	12748
72	1227	12866
73	1256	12969
74	1259	12810
75	1287	12907
76	1296	12814
77	1320	12865
78	1392	13380
79	1400	13272
80	1423	13304
81	1531	14121
82	1553	14128
83	1565	14054
84	1574	13951
85	1612	14098
86	1618	13969
87	1646	14033
88	1659	13969
89	1701	14139
90	1710	14038
91	1716	13921
92	1725	13823
93	1730	13693
94	1733	13554
95	1737	13425
96	1766	13494
97	1831	13831
98	1879	14032
99	1918	14155
100	1952	14244
101	2073	14961
102	2103	15010
103	2105	14861
104	2109	14728
105	2192	15140
106	2230	15235
107	2311	15622
108	2318	15507
109	2329	15420
110	2353	15413
111	2433	15775
112	2504	16068
113	2523	16028
114	2558	16083
115	2654	16522
116	2693	16596
117	2718	16587
118	2745	16586
119	2764	16539
120	2769	16408
121	2787	16359
122	2814	16361
123	2826	16277
124	2853	16275
125	2865	16191
126	2888	16169
127	2896	16064
128	2930	16108
129	2947	16052
130	2951	15929
131	2957	15820
132	2963	15710
133	2966	15584
134	2970	15468
135	2975	15358
136	2983	15263
137	2986	15148
138	2991	15044
139	2995	14933
140	2999	14828
141	3003	14722
142	3011	14634
143	3015	14530
144	3020	14434
145	3024	14334
146	3027	14233
147	3032	14136
148	3036	14043
149	3044	13962
150	3048	13868
151	3053	13779
152	3056	13682
153	3059	13591
154	3076	13554
155	3087	13498
156	3097	13434
157	3120	13427
158	3149	13451
159	3170	13435
160	3200	13456
161	3204	13373
162	3213	13307
163	3243	13331
164	3251	13263
165	3258	13189
166	3267	13128
167	3272	13051
168	3274	12963
169	3278	12884
170	3290	12834
171	3295	12759
172	3299	12683
173	3307	12620
174	3312	12548
175	3317	12478
176	3321	12404
177	3324	12328
178	3335	12279
179	3339	12209
180	3347	12152
181	3353	12086
182	3355	12011
183	3359	11939
184	3363	11873
185	3367	11805
186	3371	11735
187	3378	11681
188	3386	11629
189	3391	11568
190	3444	11667
191	3484	11723
192	3542	11838
193	3545	11770
194	3605	11888
195	3618	11852
196	3671	11947
197	3736	12078
198	3753	12052
199	3760	11996
200	3765	11933
201	3826	12048
202	3866	12093
203	3893	12099
204	3899	12040
205	3915	12013
206	3920	11949
207	3931	11907
208	3955	11905
209	3985	11918
210	3995	11872
211	4035	11917
212	4046	11873
213	4072	11874
214	4090	11853
215	4093	11788
216	4097	11726
217	4102	11667
218	4109	11614
219	4118	11569
220	4132	11536
221	4155	11530
222	4160	11474
223	4163	11413
224	4166	11351
225	4205	11388
226	4209	11329
227	4254	11382
228	4263	11337
229	4275	11300
230	4277	11240
231	4306	11248
232	4330	11245
233	4351	11231
234	4371	11216
235	4379	11171
236	4382	11112
237	4439	11192
238	4446	11145
239	4475	11150
240	4506	11163
241	4543	11190
242	4645	11375
243	4678	11389
244	4728	11444
245	4781	11505
246	4827	11550
247	4830	11492
248	4860	11498
249	4907	11541
250	4924	11517
251	4960	11534
252	4996	11552
253	5008	11515
254	5044	11533
255	5110	11618
256	5116	11567
257	5120	11512
258	5165	11547
259	5203	11568
260	5211	11521
261	5234	11508
262	5268	11519
263	5291	11505
264	5325	11514
265	5350	11504
266	5384	11515
267	5432	11554
268	5442	11512
269	5447	11460
270	5510	11529
271	5516	11479
272	5519	11422
273	5554	11434
274	5587	11439
275	5607	11418
276	5614	11371
277	5651	11384
278	5667	11355
279	5670	11301
280	5707	11313
281	5746	11330
282	5820	11415
283	5874	11459
284	5883	11415
285	5885	11359
286	5890	11309
287	5914	11295
288	5978	11357
289	6031	11398
290	6074	11417
291	6076	11361
292	6095	11338
293	6146	11373
294	6149	11318
295	6153	11267
296	6156	11215
297	6159	11160
298	6163	11110
299	6167	11060
300	6170	11009
301	6173	10957
302	6178	10908
303	6182	10859
304	6186	10811
305	6191	10764
306	6196	10717
307	6202	10673
308	6208	10628
309	6214	10584
310	6221	10542
311	6226	10496
312	6229	10448
313	6235	10405
314	6239	10359
315	6243	10313
316	6247	10268
317	6250	10221
318	6252	10173
319	6256	10127
320	6260	10083
321	6264	10038
322	6268	9994
323	6273	9951
324	6276	9907
325	6280	9864
326	6283	9819
327	6289	9780
328	6293	9736
329	6296	9692
330	6303	9654
331	6308	9614
332	6313	9574
333	6315	9530
334	6318	9486
335	6320	9443
336	6326	9404
337	6330	9364
338	6334	9323
339	6339	9284
340	6345	9248
341	6352	9212
342	6357	9174
343	6360	9134
344	6368	9100
345	6371	9060
346	6384	9034
347	6387	8993
348	6393	8958
349	6398	8921
350	6405	8887
351	6446	8900
352	6449	8861
353	6453	8823
354	6458	8786
355	6484	8779
356	6490	8745
357	6494	8708
358	6500	8673
359	6521	8658
360	6524	8621
361	6533	8591
362	6543	8562
363	6575	8563
364	6579	8525
365	6583	8490
366	6602	8473
367	6605	8436
368	6613	8405
369	6623	8377
370	6638	8355
371	6665	8349
372	6687	8336
373	6690	8300
374	6693	8264
375	6711	8246
376	6728	8227
377	6803	8278
378	6824	8265
379	6831	8233
380	6861	8230
381	6888	8222
382	6893	8189
383	6913	8173
384	6921	8144
385	6951	8139
386	7009	8168
387	7017	8138
388	7046	8133
389	7058	8108
390	7109	8127
391	7138	8121
392	7157	8104
393	7177	8088
394	7198	8073
395	7246	8087
396	7248	8051
397	7279	8047
398	7332	8067
399	7366	8066
400	7368	8030
401	7385	8010
402	7391	7978
403	7417	7968
404	7424	7937
405	7429	7905
406	7490	7931
407	7496	7900
408	7505	7872
409	7535	7866
410	7571	7866
411	7597	7855
412	7635	7857
413	7666	7851
414	7702	7850
415	7743	7855
416	7748	7823
417	7843	7881
418	7922	7922
419	7943	7905
420	8004	7928
421	8142	8026
422	8159	8005
423	8210	8017
424	8231	7998
425	8248	7977
426	8251	7941
427	8271	7923
428	8297	7911
429	8353	7926
430	8398	7930
431	8451	7942
432	8477	7929
433	8491	7904
434	8510	7884
435	8518	7853
436	8521	7819
437	8529	7789
438	8553	7774
439	8576	7757
440	8631	7770
441	8682	7779
442	8688	7747
443	8703	7723
444	8730	7710
445	8768	7707
446	8793	7692
447	8799	7660
448	8830	7650
449	8875	7652
450	8937	7669
451	8952	7645
