nft_id,Accessories,Background,Body,Eyes,Hat,Mouth
0,Neck Tattoo,Lavender Dusk Purple,Cream,Normal,Slickback,Sad
1,Scarf,Spiced Orange,Cream,Normal,Dreads,Drooling
2,None,Seashell Pink,Black,Normal,Elvis,Sad
3,Red Bandana,Forest Moss Green,White,Concerned,Headband,Bubble Gum
4,Scarf,Sunlit Gold,Black,White Shades,No Hat,Surprised
5,None,Forest Moss Green,Black - Overweight,Concerned,Fire,Toothy
6,None,Forest Moss Green,Lilac,Red Round Shades,No Hat,Toothy
7,Scarf,Forest Moss Green,Black - Overweight,Eye Patch,Pirate,Bubble Gum
8,Bow Tie,Rose Quartz Pink,Black - Overweight,Red Round Shades,Cowboy,Toothy
9,Scarf,Seashell Pink,Black - Overweight,Drowsy Cyclop,No Hat,Feral
10,Scarf,Rose Quartz Pink,White,Normal,Bone,Toothy
11,Neck Tattoo,Spiced Orange,Black,White Round Shades,Devil Horns,Panting
12,Red Bandana,Forest Moss Green,Cream,Concerned,No Hat,Toothy
13,Bow Tie,Stormcloud Grey,Tan,Nouns Glasses,Cylinder,Surprised
14,Red Bandana,Stormcloud Grey,Tan,White Round Shades,Elvis,Feral
15,Gold Chain,Rose Quartz Pink,Black,Goggles,No Hat,Surprised
16,Bow Tie,Spiced Orange,Tan,Eye Patch,Headband,Happy
17,Gold Chain,Seashell Pink,White,Drowsy,Elvis,Toothy
18,None,Stormcloud Grey,Chocolate,White Round Shades,No Hat,Happy
19,None,Stormcloud Grey,Black,Normal,Dreads,Drooling
20,None,Rose Quartz Pink,White,Normal,Elvis,Happy
21,None,Lavender Dusk Purple,Black - Overweight,Drowsy,Cowboy,Mustache
22,None,Lavender Dusk Purple,Tan,Normal,Leprechaun,Toothy
23,Gold Chain,Sunlit Gold,Black - Overweight,Normal,No Hat,Happy
24,Earrings,Rose Quartz Pink,Black - Overweight,Eye Patch,Sobrero,Bubble Gum
25,None,Seashell Pink,Black,Laser Eyes,Party Hat,Happy
26,None,Seashell Pink,Tan - Overweight,Red Round Shades,Top Hat,Sad
27,Earrings,Midnight Sapphire Blue,Tan,Normal,No Hat,Happy
28,None,Spiced Orange,Sable,Eye Patch,Devil Horns,Happy
29,Gold Chain,Spiced Orange,Chocolate,Gold Shades,Cylinder,Happy
30,Red Bandana,Sunlit Gold,Black,Normal,Top Hat,Feral
31,None,Stormcloud Grey,Tan,Normal,No Hat,Sad
32,Red Bandana,Sunlit Gold,Black - Overweight,Eye Patch,Elvis,Happy
33,Bow Tie,Spiced Orange,Cream,White Shades,Baseball Cap,Toothy
34,None,Sunlit Gold,Black,White Round Shades,Cylinder,Happy
35,Bow Tie,Forest Moss Green,White,Concerned,Party Hat,Vampire
36,Wings,Lavender Dusk Purple,Tan,Laser Eyes,No Hat,Sad
37,Samurai Sword,Forest Moss Green,Sable,Normal,Cowboy,Vampire
38,None,Sunlit Gold,Sable,Normal,Headphones,Mustache
39,Red Bandana,Stormcloud Grey,Tan,White Shades,Cylinder,Vampire
40,Tie,Forest Moss Green,Black,Nouns Glasses,Elvis,Mustache
41,Scarf,Rose Quartz Pink,Chocolate,Normal,No Hat,Sad
42,None,Midnight Sapphire Blue,Tan,Normal,Slickback,Toothy
43,None,Lavender Dusk Purple,Lilac,Normal,Headband,Toothy
44,Scarf,Seashell Pink,Tan,Normal,No Hat,Happy
45,Tie,Stormcloud Grey,Tan - Overweight,Red Shades,No Hat,Mustache
