nft_id,trade_price,floor_price
1088,4.0,4.0
1065,4.0,4.0
1026,4.0,4.0
1099,4.0,4.0
325,4.0,4.0
860,4.02,4.02
838,4.13,4.02
837,7.13,4.02
643,6.2,4.07
1483,5.17,4.07
1095,4.07,4.07
420,4.07,4.07
178,4.57,4.07
1244,4.07,4.07
178,4.07,4.07
678,8.46,4.07
307,4.07,4.07
423,4.07,4.07
687,4.68,4.07
1355,4.07,4.07
823,4.05,4.05
1014,4.05,4.05
799,4.09,4.09
878,4.09,4.09
343,4.12,4.12
1000,4.86,4.12
925,4.12,4.12
1156,4.12,4.12
948,7.75,4.12
655,4.12,4.12
507,4.12,4.12
1142,4.19,4.19
1007,4.19,4.19
81,4.19,4.19
539,4.19,4.19
214,4.16,4.16
239,5.03,4.16
224,9.8,4.16
448,4.16,4.16
151,4.16,4.16
922,4.19,4.19
1085,4.19,4.19
46,4.19,4.19
843,4.2,4.2
886,4.2,4.2
781,4.28,4.2
950,4.22,4.2
589,4.2,4.2
436,14.2,4.2
313,4.2,4.2
87,4.2,4.2
1311,4.27,4.27
1007,4.96,4.27
988,4.27,4.27
835,4.27,4.27
583,4.27,4.27
1291,4.27,4.27
1131,4.27,4.27
579,4.27,4.27
628,4.27,4.27
355,4.27,4.27
69,4.39,4.39
803,4.39,4.39
540,4.39,4.39
712,25.16,4.39
436,15.79,4.39
1078,4.43,4.43
1178,4.44,4.44
465,14.13,4.44
1197,4.44,4.44
1311,4.44,4.44
366,4.44,4.44
110,5.82,4.44
131,4.44,4.44
809,4.47,4.47
1193,4.47,4.47
73,4.47,4.47
902,4.72,4.49
606,7.07,4.49
1253,4.49,4.49
432,10.13,4.49
695,4.49,4.49
824,4.52,4.52
1466,4.52,4.52
444,4.52,4.52
1309,5.01,4.52
1430,4.52,4.52
1156,4.52,4.52
272,4.52,4.52
691,4.52,4.52
676,4.52,4.52
244,4.52,4.52
1215,4.52,4.52
1178,4.52,4.52
467,4.52,4.52
1106,4.59,4.59
1484,4.59,4.59
279,5.61,4.59
587,4.59,4.59
287,4.59,4.59
1162,4.59,4.59
592,4.74,4.74
594,4.74,4.74
527,8.87,4.74
1274,4.74,4.74
821,4.74,4.74
422,4.74,4.74
539,4.74,4.74
927,7.45,4.74
104,4.85,4.74
1006,6.86,4.74
707,4.74,4.74
137,4.74,4.74
1400,5.95,4.82
335,4.82,4.82
374,4.8,4.8
465,13.39,4.8
538,4.8,4.8
82,4.82,4.82
672,9.31,4.82
1279,12.96,4.82
280,4.82,4.82
1020,4.82,4.82
514,4.82,4.82
