nft_id,trade_price,floor_price,Accessories,Background,Body,Eyes,Hat,Mouth,Accessories_Background_freq,Accessories_Body_freq,Accessories_Eyes_freq,Accessories_Hat_freq,Accessories_Mouth_freq,Background_Body_freq,Background_Eyes_freq,Background_Hat_freq,Background_Mouth_freq,Body_Eyes_freq,Body_Hat_freq,Body_Mouth_freq,Eyes_Hat_freq,Eyes_Mouth_freq,Hat_Mouth_freq,Mouth_freq,Accessories_freq,Background_freq,Body_freq,Eyes_freq,Hat_freq
1088,4.0,4.0,Tie,Midnight Sapphire Blue,Lilac,White Round Shades,No Hat,Sad,0.0073,0.0053,0.0047,0.024,0.0087,0.0053,0.0127,0.0367,0.0153,0.006,0.016,0.0073,0.0327,0.012,0.0387,0.118,0.0627,0.1167,0.0433,0.0987,0.3147
1088,5.16,5.16,Tie,Midnight Sapphire Blue,Lilac,White Round Shades,No Hat,Sad,0.0073,0.0053,0.0047,0.024,0.0087,0.0053,0.0127,0.0367,0.0153,0.006,0.016,0.0073,0.0327,0.012,0.0387,0.118,0.0627,0.1167,0.0433,0.0987,0.3147
1088,8.15,8.15,Tie,Midnight Sapphire Blue,Lilac,White Round Shades,No Hat,Sad,0.0073,0.0053,0.0047,0.024,0.0087,0.0053,0.0127,0.0367,0.0153,0.006,0.016,0.0073,0.0327,0.012,0.0387,0.118,0.0627,0.1167,0.0433,0.0987,0.3147
1088,4.14,4.14,Tie,Midnight Sapphire Blue,Lilac,White Round Shades,No Hat,Sad,0.0073,0.0053,0.0047,0.024,0.0087,0.0053,0.0127,0.0367,0.0153,0.006,0.016,0.0073,0.0327,0.012,0.0387,0.118,0.0627,0.1167,0.0433,0.0987,0.3147
1065,4.0,4.0,nan,Spiced Orange,Tan,White Shades,Headphones,Toothy,0.0527,0.066,0.066,0.022,0.074,0.0207,0.0147,0.0053,0.02,0.0207,0.0087,0.032,0.0087,0.03,0.0087,0.1853,0.4247,0.118,0.1553,0.148,0.05
1026,4.0,4.0,Red Bandana,Rose Quartz Pink,Black,Eye Patch,No Hat,Mustache,0.0113,0.0253,0.012,0.0307,0.0087,0.032,0.014,0.0407,0.0093,0.018,0.0727,0.0213,0.0267,0.0067,0.022,0.0767,0.092,0.116,0.2333,0.08,0.3147
1026,4.61,4.61,Red Bandana,Rose Quartz Pink,Black,Eye Patch,No Hat,Mustache,0.0113,0.0253,0.012,0.0307,0.0087,0.032,0.014,0.0407,0.0093,0.018,0.0727,0.0213,0.0267,0.0067,0.022,0.0767,0.092,0.116,0.2333,0.08,0.3147
1099,4.0,4.0,nan,Forest Moss Green,Tan - Overweight,Normal,No Hat,Surprised,0.0467,0.0313,0.102,0.132,0.056,0.0067,0.034,0.0447,0.0147,0.016,0.016,0.0067,0.0747,0.03,0.0407,0.1187,0.4247,0.1247,0.0727,0.2567,0.3147
1099,6.79,6.79,nan,Forest Moss Green,Tan - Overweight,Normal,No Hat,Surprised,0.0467,0.0313,0.102,0.132,0.056,0.0067,0.034,0.0447,0.0147,0.016,0.016,0.0067,0.0747,0.03,0.0407,0.1187,0.4247,0.1247,0.0727,0.2567,0.3147
1099,4.75,4.75,nan,Forest Moss Green,Tan - Overweight,Normal,No Hat,Surprised,0.0467,0.0313,0.102,0.132,0.056,0.0067,0.034,0.0447,0.0147,0.016,0.016,0.0067,0.0747,0.03,0.0407,0.1187,0.4247,0.1247,0.0727,0.2567,0.3147
