iter	RMSE
0	0.6493507649
1	0.6367845681
2	0.6251058519
3	0.6117838521
4	0.5985681836
5	0.5865583283
6	0.5743298676
7	0.5653397951
8	0.5579454061
9	0.5476859583
10	0.5393839483
11	0.5321896908
12	0.5238816098
13	0.5159228807
14	0.509900186
15	0.5029438926
16	0.4955285858
17	0.4898414261
18	0.4838866267
19	0.477153752
20	0.4716614842
21	0.4664142442
22	0.4612935465
23	0.4562847322
24	0.4523124463
25	0.4470278557
26	0.4419174471
27	0.4374960123
28	0.4334577106
29	0.428741473
30	0.4237767788
31	0.4199645115
32	0.4150191706
33	0.4107530389
34	0.4062725037
35	0.4029545188
36	0.3993242963
37	0.3955173959
38	0.3919145661
39	0.3881679338
40	0.3847515679
41	0.3808139848
42	0.3768565307
43	0.373340698
44	0.3695970842
45	0.3666046253
46	0.3639730529
47	0.3606472504
48	0.3576064812
49	0.3550584343
50	0.3521659778
51	0.3496032777
52	0.3466773524
53	0.3448301171
54	0.3423552419
55	0.3396643142
56	0.3371758876
57	0.3352370805
58	0.3324838574
59	0.3299369531
60	0.3275943224
61	0.3254355728
62	0.3230674181
63	0.3204055694
64	0.3182274095
65	0.3156424702
66	0.3133136428
67	0.311074136
68	0.3090568395
69	0.3073975907
70	0.3050063955
71	0.303152314
72	0.3009353186
73	0.2993816685
74	0.2980116936
75	0.2964724244
76	0.2951272458
77	0.2936824213
78	0.2920149088
79	0.289746467
80	0.2881907369
81	0.28638389
82	0.2843191103
83	0.2823867698
84	0.2810638135
85	0.2795934732
86	0.2779303575
87	0.2760742706
88	0.2745646765
89	0.2734225572
90	0.2719510942
91	0.2706622049
92	0.2691111912
93	0.267581426
94	0.2661628505
95	0.2647267844
96	0.2634544205
97	0.2617419574
98	0.2601589408
99	0.258766092
100	0.2574803823
101	0.2562330865
102	0.2548100678
103	0.2532507542
104	0.2519546371
105	0.2507838649
106	0.2494976428
107	0.2481938595
108	0.2464351425
109	0.2451732103
110	0.2436135165
111	0.2425331122
112	0.241011898
113	0.2395275559
114	0.2384344104
115	0.2372001593
116	0.2359864671
117	0.2344881503
118	0.233247467
119	0.2323068808
120	0.2308569917
121	0.2299620471
122	0.2288700519
123	0.2275480123
124	0.2266647123
125	0.2257227319
126	0.2244732264
127	0.2233357925
128	0.2223750605
129	0.221165909
130	0.2200339447
131	0.2189547616
132	0.2179504438
133	0.2167995116
134	0.2159380326
135	0.2149312764
136	0.2139705383
137	0.2132439203
138	0.2124894294
139	0.2115906679
140	0.2102571732
141	0.2093914902
142	0.2083339388
143	0.2074793199
144	0.2066984084
145	0.2061119797
146	0.2050521893
147	0.204350231
148	0.2033271071
149	0.2022996428
150	0.2016139584
151	0.2009101814
152	0.2001138913
153	0.1995685332
154	0.1988296748
155	0.1975615463
156	0.1968027954
157	0.1959297361
158	0.1952235701
159	0.194739994
160	0.193823013
161	0.1931682196
162	0.1926921423
163	0.1919666565
164	0.191397592
165	0.1906010783
166	0.189845705
167	0.1892038369
168	0.1885046741
169	0.1876527144
170	0.187220195
171	0.1863836345
172	0.1858625774
173	0.1851623353
174	0.1845701892
175	0.1840505601
176	0.1833293107
177	0.1826684783
178	0.1820274114
179	0.1812295115
180	0.1806223433
181	0.1799778456
182	0.1794844564
183	0.178738457
184	0.1781566749
185	0.1777388678
186	0.1769009499
187	0.1763259067
188	0.1756075979
189	0.1748895316
190	0.1744381265
191	0.1738814194
192	0.1732883673
193	0.172524927
194	0.1720871148
195	0.1714059995
196	0.1710681904
197	0.1703367208
198	0.1698010054
199	0.1693639882
200	0.1690657577
201	0.1686635168
202	0.1681595567
203	0.1675843705
204	0.1672192884
205	0.16675404
206	0.166240289
207	0.1656150361
208	0.1652218384
209	0.1648028959
210	0.1642463236
211	0.1635727262
212	0.1631910101
213	0.1626173321
214	0.162162374
215	0.1616083195
216	0.1609941995
217	0.1604465304
218	0.1601036418
219	0.1596342112
220	0.1591932599
221	0.1587575197
222	0.1582313444
223	0.1577990766
224	0.1574738602
225	0.1569833955
226	0.156561539
227	0.1561426401
228	0.1558779704
229	0.1555749254
230	0.1551899606
231	0.1548073321
232	0.1544029109
233	0.1540289494
234	0.1535616796
235	0.1532296819
236	0.1525675486
237	0.1521632032
238	0.1518725841
239	0.1514504201
240	0.1509720075
241	0.1506724569
242	0.1499751546
243	0.1493679636
244	0.1490851397
245	0.1486475609
246	0.1482947068
247	0.148029345
248	0.1475858513
249	0.1472995307
250	0.1468783844
251	0.1465643162
252	0.1462641613
253	0.145695551
254	0.1454194402
255	0.1451466122
256	0.1447674863
257	0.1441755107
258	0.143838489
259	0.143558004
260	0.1431585493
261	0.1429029175
262	0.1426366709
263	0.1422840432
264	0.1418543809
265	0.1415505965
266	0.1413048003
267	0.1409554009
268	0.1406806158
269	0.1401678966
270	0.1398887768
271	0.1394475232
272	0.1391889786
273	0.1389668931
274	0.1385845185
275	0.1381845964
276	0.1379483826
277	0.137725667
278	0.1373649089
279	0.1371137089
280	0.136715678
281	0.1364830572
282	0.1362358214
283	0.1359067528
284	0.1355882186
285	0.1353658975
286	0.1350000756
287	0.1346340283
288	0.1343471384
289	0.1339823986
290	0.1334591013
291	0.1331013854
292	0.1328233485
293	0.1326298895
294	0.1322223359
295	0.1318078749
296	0.1314791527
297	0.1311612519
298	0.1309320614
299	0.1307517179
300	0.1304374926
301	0.1299957656
302	0.1298004399
303	0.1294827902
304	0.1291969414
305	0.1289332427
306	0.1286912687
307	0.1284969242
308	0.1281613148
309	0.1279806192
310	0.1277629052
311	0.127552555
312	0.1273912784
313	0.1272130934
314	0.1270350641
315	0.1267018673
316	0.1264934836
317	0.1262744089
318	0.1260530307
319	0.1258688147
320	0.1257080884
321	0.1254248349
322	0.1252673026
323	0.1249950155
324	0.1247696975
325	0.1245095598
326	0.1241639778
327	0.1239555883
328	0.1237708271
329	0.1235670399
330	0.1233186729
331	0.123044789
332	0.1227820401
333	0.1225361074
334	0.122189174
335	0.1220155994
336	0.1218448865
337	0.1216950953
338	0.1214447663
339	0.1212538642
340	0.121084462
341	0.1207755172
342	0.1205085532
343	0.1202857353
344	0.1201357089
345	0.1199582259
346	0.119661727
