iter	Passed	Remaining
0	0	532
1	1	487
2	1	473
3	1	451
4	2	436
5	2	438
6	3	449
7	3	450
8	4	444
9	4	448
10	5	459
11	5	452
12	6	448
13	6	450
14	7	450
15	8	452
16	8	451
17	8	449
18	9	448
19	9	448
20	10	447
21	10	446
22	11	445
23	11	441
24	12	439
25	12	436
26	13	434
27	13	431
28	14	435
29	14	438
30	15	437
31	15	435
32	16	434
33	16	434
34	17	433
35	17	431
36	18	433
37	18	434
38	19	436
39	19	436
40	20	435
41	20	433
42	21	431
43	21	431
44	22	432
45	23	437
46	23	437
47	23	433
48	24	430
49	24	429
50	25	425
51	25	422
52	25	420
53	26	419
54	26	419
55	27	418
56	27	417
57	28	416
58	28	416
59	29	416
60	29	414
61	29	414
62	30	413
63	30	413
64	31	414
65	33	430
66	33	430
67	34	429
68	35	431
69	35	431
70	36	430
71	38	450
72	40	470
73	42	485
74	44	499
75	46	511
76	50	548
77	52	561
78	53	565
79	54	570
80	55	576
81	56	578
82	57	579
83	58	579
84	59	579
85	59	580
86	61	588
87	62	587
88	62	587
89	63	587
90	64	586
91	64	584
92	65	582
93	66	580
94	66	576
95	66	573
96	67	570
97	67	568
98	68	566
99	69	568
100	69	566
101	70	564
102	70	561
103	71	559
104	71	556
105	72	553
106	72	550
107	72	548
108	73	545
109	73	543
110	74	541
111	74	539
112	75	537
113	75	534
114	76	532
115	76	530
116	77	527
117	77	527
118	78	526
119	78	524
120	79	522
121	79	520
122	80	518
123	80	515
124	80	513
125	81	511
126	81	509
127	82	507
128	82	506
129	83	507
130	84	505
131	84	503
132	84	501
133	85	499
134	85	498
135	86	496
136	86	494
137	87	493
138	87	490
139	87	489
140	88	487
141	88	485
142	89	483
143	89	481
144	90	480
145	90	479
146	90	477
147	91	476
148	91	474
149	92	473
150	92	471
151	93	469
152	93	468
153	94	467
154	94	466
155	95	464
156	95	464
157	96	463
158	96	461
159	96	460
160	97	458
161	97	456
162	98	455
163	98	453
164	98	452
165	99	450
166	99	449
167	100	448
168	100	446
169	101	445
170	101	444
171	102	443
172	102	442
173	102	440
174	103	439
175	104	440
176	104	439
177	105	437
178	105	435
179	105	434
180	106	432
181	106	430
182	106	429
183	106	427
184	107	425
185	107	424
186	108	422
187	108	422
188	109	421
189	109	420
190	110	419
191	110	419
192	111	418
193	111	417
194	112	416
195	112	416
196	113	415
197	113	414
198	114	413
199	114	412
200	115	411
201	115	410
202	116	409
203	116	408
204	119	417
205	120	416
206	120	415
207	121	415
